Index,English_Discription,Tag
80,"Set 4 w 1 Bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",bun
80,"Set 4 w 1 Bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",chinese
81,"Set 4 w 2 Buns (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",spicy
81,"Set 4 w 2 Buns (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",sour
81,"Set 4 w 2 Buns (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",pork
81,"Set 4 w 2 Buns (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",fish
81,"Set 4 w 2 Buns (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",bun
81,"Set 4 w 2 Buns (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",chinese
82,"Set 4 w Rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",spicy
82,"Set 4 w Rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",sour
82,"Set 4 w Rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",pork
82,"Set 4 w Rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",fish
82,"Set 4 w Rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",rice
82,"Set 4 w Rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",chinese
83,"Set 5 w 1 Bun (Sweet & Sour Pork, Fish Flavored Shredded Pork,  Lotus Root",pork
83,"Set 5 w 1 Bun (Sweet & Sour Pork, Fish Flavored Shredded Pork,  Lotus Root",chinese
84,"Set 5 w 2 Buns (Sweet & Sour Pork, Fish Flavored Shredded Pork,  Lotus Root",pork
84,"Set 5 w 2 Buns (Sweet & Sour Pork, Fish Flavored Shredded Pork,  Lotus Root",chinese
85,"Set 5 w Rice (Sweet & Sour Pork, Fish Flavored Shredded Pork,  Lotus Root",pork
85,"Set 5 w Rice (Sweet & Sour Pork, Fish Flavored Shredded Pork,  Lotus Root",chinese
86,"Set 6 w 1 Bun (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",spicy
86,"Set 6 w 1 Bun (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",sour
86,"Set 6 w 1 Bun (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",pork
86,"Set 6 w 1 Bun (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",bun
86,"Set 6 w 1 Bun (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",chinese
87,"Set 6 w 2 Buns (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",spicy
87,"Set 6 w 2 Buns (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",sour
87,"Set 6 w 2 Buns (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",pork
87,"Set 6 w 2 Buns (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",bun
87,"Set 6 w 2 Buns (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",chinese
88,"Set 6 w Rice (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",spicy
88,"Set 6 w Rice (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",sour
88,"Set 6 w Rice (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",pork
88,"Set 6 w Rice (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",rice
88,"Set 6 w Rice (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",chinese
89,"Set 7 w 1 Bun (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",fish
89,"Set 7 w 1 Bun (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",bun
89,"Set 7 w 1 Bun (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",chinese
90,"Set 7 w 2 Buns (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",fish
90,"Set 7 w 2 Buns (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",bun
90,"Set 7 w 2 Buns (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",chinese
91,"Set 7 w Rice (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",fish
91,"Set 7 w Rice (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",rice
91,"Set 7 w Rice (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",chinese
92,"Set 8 w 1 Bun (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",sour
92,"Set 8 w 1 Bun (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",beef
92,"Set 8 w 1 Bun (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",pork
92,"Set 8 w 1 Bun (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",bun
92,"Set 8 w 1 Bun (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",chinese
93,"Set 8 w 2 Buns (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",sour
